node_id	node_label	node_year	node_category	selected_qid	selected_label	selected_description	alternatives	confidence
linkedin	LinkedIn	2003	TECHNOLOGY	Q213660	LinkedIn	American social networking website for people in professional occupations	Q80056039:LinkedIn Ireland:Irish company | Q17067960:LinkedIn Learning:online education company | Q115366029:LinkedIn News:American online media | Q112058774:LinkedIn post:a single entry on LinkedIn	auto
facebook	Facebook	2004	TECHNOLOGY	Q355	Facebook	American online social media and social networking service	Q18613161:Facebook:300th strip of the webcomic xkcd | Q101420143:Facebook page:pages on Facebook are dedicated to businesses, brands, organizations and public figures | Q41689616:Facebook app:official mobile app of Facebook | Q28943651:Facebook AI Research:research group	review
youtube	YouTube	2005	TECHNOLOGY	Q866	YouTube	American video-sharing platform owned by Alphabet Inc.	Q41697543:YouTube:mobile app | Q18157148:YouTube:official channel of YouTube | Q112247183:YouTube LLC:American audiovisual communications company | Q63412991:YouTube video:software resource that represents a video, its comments, likes, etc. on YouTube	review
twitter	Twitter	2006	TECHNOLOGY	Q15718485	Twitter	name of American social networking service between 2006–2023	Q1390577:Twitter:defunct American social media company | Q106705594:twitter:call type in some vocalizing animals | Q18614279:Twitter:491st strip of the webcomic xkcd | Q918:X:American social networking service founded in 2006	auto
iphone	iPhone	2007	TECHNOLOGY	Q2766	iPhone	line of smartphones developed and marketed by Apple Inc.	Q621427:iPhone:first smartphone of the iPhone line by Apple Inc. | Q39510168:iPhone X:group of smartphone models produced by Apple Inc. | Q18010890:iPhone 6:group of smartphone models produced by Apple Inc. | Q56599248:iPhone XS:group of smartphone models produced by Apple Inc.	review
spotify	Spotify	2008	TECHNOLOGY	Q689141	Spotify	Swedish audio streaming service	Q87067874:Spotify:Swedish company | Q60269744:Spotify Technology:Luxembourgish holding company | Q19884154:Spotify artist ID:identifier for an artist on Spotify | Q88780439:Spotify Singles:single series by Spotify	review
app_store	App Store	2008	TECHNOLOGY	Q368215	App Store	digital app distribution platform for iOS/iPadOS	Q131740648:App Store:client for the GrapheneOS app repository | Q111037377:App Store Awards:annual awards ceremony | Q932688:Mac App Store:digital app distribution platform for macOS | Q55604097:Apple TV App Store:digital distribution platform by Apple	review
google_chrome	Google Chrome	2008	TECHNOLOGY	Q777	Google Chrome	web browser developed by Google	Q5583814:Google Chrome:mobile browser developed by Google | Q5583816:Google Chrome extension:browser extension for Google Chrome and other Chromium-based browsers | Q16972647:Google Chrome app:web application that runs on the Google Chrome web browser | Q79576:Google Play:digital software distribution platform from Google	review
github	GitHub	2008	TECHNOLOGY	Q364	GitHub	hosting service for software projects using Git	Q82066181:GitHub:mobile app | Q112578376:github:Atom package for GitHub integration | Q28771536:GitHub Inc.:American software corporation | Q100710463:GitHub CLI:GitHub's official command-line tool	review
bitcoin	Bitcoin	2009	TECHNOLOGY	Q131723	Bitcoin	digital cash system and associated currency	Q18198917:Bitcoin Core:Bitcoin node and wallet software | Q59285013:Bitcoin SV:cryptocurrency that is a hard fork of Bitcoin Cash (2018) | Q23055403:bitcoin sign:currency sign of the bitcoin sign | Q20107444:bitcoin exchange:service for converting bitcoin to other currencies	auto
uber_app	Uber App	2010	TECHNOLOGY	Q780442	Uber	peer-to-peer ridesharing, food delivery, and transportation network company headquartered in San Francisco, California	Q37307685:Uber:family name | Q104547327:Uber:male given name | Q194328:Uberlândia:municipality of Minas Gerais state, Brazil	review
stripe	Stripe	2010	TECHNOLOGY	Q7624104	Stripe	Irish-American payment technology company	Q117454382:Stripe:South African progamer | Q3421342:stripe:long, narrow band of color, often in alternating sets | Q127900502:Stripe:fictional character in the Gremlins franchise | Q842647:striped bass:species of fish	review
wechat	WeChat	2011	TECHNOLOGY	Q283233	WeChat	messaging, social media, and payment app developed by Tencent	Q137860966:WeChat Clean:open-source software to clean WeChat's storage which was taken down by Tencent | Q59426035:WeChat Pay:Chinese mobile payment system | Q19646485:WeChat red envelope:mobile application developed by Chinese technology company Tencent | Q105854164:WeChat Audio message (SILK codec):file format	review
zoom	Zoom	2011	TECHNOLOGY	Q94979732	Zoom	video-conferencing software	Q12898501:Zoom:Haitian musician | Q17460900:Zoom Video Communications:company responsible for the Zoom software | Q932299:Zoom Corporation:Japanese company | Q4053610:Zoomorphology:peer-reviewed scientific journal	review
model_s	Tesla Model S	2012	TECHNOLOGY	Q1463050	Tesla Model S	electric sedan produced and sold by Tesla Motors	Q125396559:Tesla Model S Plaid:model of Tesla car | Q97823764:Tesla Model S, model year 2014:car model | Q17734787:Tesla Model S proglašen za automobil 2013. godine:Wikinews article | Q478214:Tesla:American automotive, energy storage and solar power company	review
raspberry_pi	Raspberry Pi	2012	TECHNOLOGY	Q245	Raspberry Pi	series of low-cost single-board computers used for educational purposes and embedded systems	Q890474:Raspberry Pi OS:dedicated operating system for Raspberry Pi | Q7295195:Raspberry Pi Foundation:charity which promotes education of adults and children, particularly in the field of computers, computer science and related subjects | Q65015606:Raspberry Pi 4 Model B:credit-card-sized single-board computer | Q48928204:Raspberry Pi Zero:the $5 computer	auto
dji_phantom	DJI Phantom	2013	TECHNOLOGY	Q19840564	DJI Phantom	series of unmanned aerial vehicles from DJI	Q135898864:DJI Phantom:unmanned drone | Q109928200:DJI Phantom 4 Pro:unmanned aerial photography and videography drone | Q110996788:DJI Phantom 4 Advanced:unmanned aerial photography and videography drone | Q110996785:DJI Phantom 4 Pro V2.0:unmanned aerial photography and videography drone	review
slack	Slack	2013	TECHNOLOGY	Q17130715	Slack	web-based instant messaging service	Q37555651:Slack:family name | Q7808625:Slack Technologies:American software company | Q58436:Slackware:Linux distribution | Q39908:trousers:clothing for the legs and lower body	review
tesla_autopilot	Tesla Autopilot	2014	TECHNOLOGY	Q126935977	Tesla Autopilot hardware	hardware used in Tesla autonomous driving systems	Q27150149:Tesla Autopilot:advanced driver-assistance system available in some Tesla vehicles | Q478214:Tesla:American automotive, energy storage and solar power company | Q163343:tesla:SI unit of magnetic flux density | Q37251206:Tesla:family name	review
ethereum	Ethereum	2015	TECHNOLOGY	Q16783523	Ethereum	public blockchain platform with programmable transaction functionality	Q110262618:Ethereum:Stack Exchange site for users of Ethereum, the decentralized application platform and smart contract enabled blockchain | Q29583124:Ethereum Classic:open source blockchain computing platform | Q96479576:Ethereum 2.0:Ethereum using PoS consensus algorithm . | Q114747713:Ethereum Improvement Proposal:standard for the Ethereum platform	review
alphago	AlphaGo	2016	TECHNOLOGY	Q22329209	AlphaGo	computer program developed by Google DeepMind to play the board game Go	Q30035185:AlphaGo versus Ke Jie:Go match in May 2017 | Q29550830:AlphaGo Master:an edition of the Go software AlphaGo | Q42296896:AlphaGo versus Fan Hui:match between AlphaGo and Fan Hui in October 2015 | Q42223294:AlphaGo Fan:edition of AlphaGo that defeated professional Go player Fan Hui in October 2015	auto
tiktok	TikTok	2016	TECHNOLOGY	Q48938223	TikTok	video-focused social media platform	Q121133407:Tiktok:social media app | Q110888858:TikTok video:video data object on China's video sharing service TikTok servers that contains data about the video | Q94791573:TikToker:person that produces videos on video sharing service TikTok | Q18394374:Tiktok:2015 film by Usama Mukwaya	review
oculus_rift	Oculus Rift	2016	TECHNOLOGY	Q69464718	Oculus Rift	virtual reality headset released in 2016	Q3274429:Oculus Rift:virtual reality headset by Meta Platforms | Q64021532:Oculus Rift S:virtual reality headset by Facebook Technologies | Q128214858:Oculus Rift DK2:VR headset | Q110870359:Oculus Rift Store:video game digital distribution platform owned by Facebook Technologies	review
alphago_zero	AlphaGo Zero	2017	TECHNOLOGY	Q42259287	AlphaGo Zero	version of AlphaGo without human data		auto
starlink	Starlink	2019	TECHNOLOGY	Q19867977	Starlink	satellite constellation; space-based internet communication system	Q127785902:Starlink:division of SpaceX | Q34745947:Starlink Data Format:file format | Q7602103:Starlink Project:UK astronomical computing project | Q16932950:StarLink corn recall:recall of foods containing genetically modified corn in 2000	review
fugaku	Fujitsu Fugaku	2020	TECHNOLOGY	Q186394	Fujitsu	Japanese multinational information technology equipment and services company	Q1132466:Fujitsu district:district in Saga prefecture, Japan | Q11456247:Fujitsu Research Institute: | Q2379925:FM-7:1982 Fujitsu home computer | Q1073949:Fujitsu Cup:international Go competition	none
copilot	GitHub Copilot	2021	TECHNOLOGY	Q107435063	GitHub Copilot	artificial intelligence tool for code autocompletion		auto
chatgpt	ChatGPT	2022	TECHNOLOGY	Q115564437	ChatGPT	artificial intelligence chatbot developed by OpenAI	Q125764297:ChatGPT:iOS app | Q125774522:ChatGPT:official Android app developed by OpenAI | Q117303591:ChatGPT Plus:subscription plan for ChatGPT | Q136671119:ChatGPT Vision Circle:online community	review
midjourney	Midjourney	2022	TECHNOLOGY	Q113070628	Midjourney	AI art generator	Q116956702:Midjourney, Inc.:Artificial intelligence company in the United States | Q137535609:Midjourney Masterclass: Odomkni plný potenciál AI:Skillmea online course | Q139324261:Fast Hours:podcast about AI image and video generation, and generative AI application for creatives	auto
perplexity	Perplexity	2022	TECHNOLOGY	Q123403392	Perplexity	chatbot search engine	Q372193:perplexity:the exponentiation of the information entropy | Q58184039:perplexity:an emotional process | Q124333951:Perplexity AI:American conversational search engine company | Q21959691:Perplexity Creek:stream in the Northern Territory, Australia	review
spacex_falcon9	Falcon 9	2010	TECHNOLOGY	Q249091	Falcon 9	partially reusable orbital launch vehicle by SpaceX	Q28450215:Falcon 9 Block 5:current version of the SpaceX Falcon 9 orbital launch vehicle | Q22808999:Falcon 9 Full Thrust:third major version of the SpaceX Falcon 9 orbital launch vehicle | Q53214907:Falcon 9 booster:first stage of a Falcon 9 rocket | Q15215794:Falcon 9 v1.1:second version of SpaceX's Falcon 9 orbital launch vehicle	auto
starship	Starship	2023	TECHNOLOGY	Q62833385	Starship	SpaceX super heavy-lift reusable launch vehicle	Q2003852:starship:spacecraft designed for interstellar travel | Q56650652:Starship:reusable spacecraft by SpaceX | Q122376440:STARSHIP:2022 video game | Q15706519:Starship:American rock band	review
gemini	Google Gemini	2023	TECHNOLOGY	Q135267995	Google Gemini on Wear OS	smartwatch app developed by Google	Q79576:Google Play:digital software distribution platform from Google | Q123688361:Gemini:family of language models by Google DeepMind | Q136832031:Gemini 3:AI model by Google | Q124547183:Gemini 1.5 Pro:large language model developed by Google	review
claude	Claude	2023	TECHNOLOGY	Q17523984	Claude	unisex given name	Q14649317:Claude:family name | Q11855388:Claude:Finnish singer (1966-1996) | Q296:Claude Monet:French painter (1840–1926) | Q214074:Claude Lorrain:French painter, draughtsman and etcher (1600—1682)	review
cursor	Cursor	2023	TECHNOLOGY	Q107602	cursor	part of a computer UI that indicates the position (textual or graphical) that operations will affect	Q131980386:Cursor:source code editor developed by Anysphere | Q7208362:mouse cursor:graphical image on a computer monitor that echoes movements of a pointing device | Q570328:Cursorius:genus of birds	review
sora	Sora	2024	TECHNOLOGY	Q117382	Sora	comune of Lazio, Italy	Q13284:Sora:Munda language of India | Q1655051:Sora:municipality of the department of Boyacá, Colombia | Q25936857:Sora:family name | Q13849:Sora:municipality in the comarca of Osona, Catalonia autonomous community, Spain	review
vision_pro	Apple Vision Pro	2024	TECHNOLOGY	Q117715451	Apple Vision Pro	XR-Headset by Apple Inc.	Q136375952:Apple Vision Pro:app developed by Apple Inc. | Q129937857:Apple Vision Pro: Comments in Healthcare:scholarly article published in 2024 | Q131325217:Apple Vision Pro App of the Year:award of Apple App Store | Q131325226:Apple Vision Pro Game of the Year:award of Apple App Store	review
fairchild	Fairchild Semi	1957	COMPANY	Q1096013	Fairchild Semiconductor	American company	Q1671509:onsemi:A semiconductor company focused on intelligent power and sensing technologies	auto
intel	Intel	1968	COMPANY	Q248	Intel	American multinational technology company	Q15760916:Intellectual History Review:academic journal | Q183560:intellectual disability:generalized neurodevelopmental disorder | Q392651:intelligence agent:employee of an intelligence service | Q11660:artificial intelligence:field of computer science that develops and studies software enabling machines to exhibit intelligent behavior	auto
amd	AMD	1969	COMPANY	Q128896	AMD	American multinational semiconductor company	Q17825270:AMD1:protein-coding gene in the species Homo sapiens | Q401700:Sardar Vallabhbhai Patel International Airport:airport in Ahmedabad, India | Q412621:methyldopa:chemical compound | Q830308:age related macular degeneration:medical condition which may result in blurred or no vision in the center of the visual field	auto
nvidia	NVIDIA	1993	COMPANY	Q182477	Nvidia	American multinational technology company	Q56274119:Nvidia RTX:development platform for rendering graphics | Q957576:Nvidia Optimus:technology by Nvidia | Q114062792:GeForce RTX 4080:graphics card | Q116004030:GeForce RTX 4070 Ti:graphics card by Nvidia	auto
arm_ltd	Arm Holdings	1990	COMPANY	Q296782	Arm Holdings	British multinational semiconductor and software design company		auto
samsung	Samsung	1969	COMPANY	Q124989916	Samsung	brand of electronics	Q20718:Samsung Electronics:South Korean multinational electronics corporation | Q20716:Samsung Group:South Korean multinational conglomerate | Q489243:Samsung Heavy Industries:South Korean shipbuilding company | Q624119:Samsung Medical Center:hospital in South Korea	review
qualcomm	Qualcomm	1985	COMPANY	Q544847	Qualcomm	American global semiconductor company	Q1083858:Qualcomm Atheros:company; subsidiary of Qualcomm | Q1193262:Qualcomm Snapdragon:suite of system-on-a-chip (SoC) semiconductor products | Q64840821:Qualcomm Snapdragon 425:system-on-a-chip for smartphones etc. | Q114580276:Qualcomm Snapdragon 870:	auto
broadcom	Broadcom	1991	COMPANY	Q555925	Broadcom	American semiconductor manufacturer	Q790060:Broadcom:American semiconductor company | Q50379826:Broadcom (Canada):company in Richmond, Canada | Q19868442:Broadcom chipset:chipset produced by Broadcom | Q113228888:Broadcom BCM2050:2,4 GHz WLAN (802.11B/G) radio ic manufactured by Broadcom	review
hp	Hewlett-Packard	1939	COMPANY	Q80978	Hewlett-Packard	American information technology company	Q58197091:Hewlett-Packard:Czech company | Q1422842:Hewlett-Packard Graphics Language:printer control language | Q19923099:Hewlett Packard Enterprise:American information technology company | Q691126:Hewlett Packard Enterprise Services:American multinational information technology equipment and services company	review
sun_micro	Sun Microsystems	1982	COMPANY	Q14647	Sun Microsystems	defunct American computer hardware and software company	Q672985:Sun Microsystems audio file:audio file format | Q18017645:Sun Microsystems cuts 6,000 jobs:Wikinews article | Q18622606:Sun Microsystems anuncia despidos de hasta 6 000 trabajadores:Wikinews article | Q4050374:Oracle Labs:information technology lab	auto
att	AT&T	1885	COMPANY	Q35476	AT&T	American multinational conglomerate	Q2843047:AT&T Corporation:subsidiary of AT&T that provides voice, video, data, and Internet telecommunications | Q838284:AT&T Stadium:stadium in Arlington, Texas, U.S. | Q105994387:AT&T UNIX:The original commercial Unix operating system by AT&T | Q217365:Bell Labs:research and scientific development company	auto
cisco	Cisco	1984	COMPANY	Q173395	Cisco	American multinational technology company	Q110280291:Cisco:family name | Q24088299:Cisco:name: given name, nickname, and surname | Q121627775:Cisco:male given name | Q980092:Cisco:city in Eastland County, Texas, United States	review
spacex	SpaceX	2002	COMPANY	Q193701	SpaceX	American private aerospace company	Q7572748:Spacex:contemporary art gallery in Devon, England | Q56042850:SpaceX Crew-1:NASA Commercial Crew Program mission to the International Space Station | Q97769209:SpaceX Crew-2:NASA Commercial Crew Program mission to the International Space Station | Q236448:Dragon:reusable cargo spacecraft by SpaceX	review
ibm	IBM	1911	COMPANY	Q37156	IBM	American multinational technology corporation	Q70096636:Ibm:locality in Braunau am Inn District | Q269856:IBM AIX:Unix operating system from IBM | Q609843:IBM System/360:IBM mainframe computer family (1964–1978) | Q863568:IBM PC DOS:discontinued computer operating system	review
tesla	Tesla	2003	COMPANY	Q478214	Tesla	American automotive, energy storage and solar power company	Q1548225:Tesla:Czech manufacturer of electronical and electrical equipment (est.1991) | Q163343:tesla:SI unit of magnetic flux density | Q37251206:Tesla:family name | Q139730425:Tesla:book about Tesla	review
dji	DJI	2006	COMPANY	Q16924332	DJI	Chinese technology company	Q125053407:DJI:Chinese brand of electronics | Q977:Djibouti:sovereign state in Africa | Q1936:Djibril Cissé:French footballer (born 1981) | Q298682:Djimon Hounsou:Beninese actor	review
boston_dynamics	Boston Dynamics	1992	COMPANY	Q2298325	Boston Dynamics	engineering and robotics design company	Q124088440:Boston Dynamics AI Institute:research organization in US | Q129426361:Boston Dynamics' Dog Robots Can Now Open Doors:scholarly article | Q57334737:Spot:2019 robot by Boston Dynamics	auto
microsoft	Microsoft	1975	COMPANY	Q2283	Microsoft	American multinational technology corporation	Q1406:Microsoft Windows:family of computer operating systems developed by Microsoft | Q135288:Microsoft Store:digital distribution platform operated by Microsoft | Q11272:Microsoft Excel:spreadsheet editor, part of Microsoft 365 | Q60683589:Microsoft Academic Knowledge Graph:RDF representation of the Microsoft Academic Graph	auto
oracle	Oracle	1977	COMPANY	Q217123	oracle	in classical antiquity, person or agency considered to provide wise and insightful counsel or prophetic predictions or precognition of the future	Q2740714:Oracle:census-designated place in Pinal County, Arizona, United States | Q19900:Oracle Corporation:American multinational computer corporation | Q185524:Oracle Database:proprietary database management system | Q1143357:oracle machine:abstract machine used to study decision problems	review
adobe	Adobe	1982	COMPANY	Q11463	Adobe	American multinational computer software company	Q183496:adobe:building material of earth and organic materials | Q165658:Adobe Flash:deprecated multimedia platform used to add animation and interactivity to web pages | Q215016:Adobe Illustrator:vector graphics editor developed and marketed by Adobe Systems | Q360109:Adobe Director:deprecated multimedia application authoring platform	review
salesforce_co	Salesforce	1999	COMPANY	Q941127	Salesforce	American cloud-based software company	Q115602131:Salesforce:Suite of cloud-based applications, including CRM, sales, artificial intelligence, analytics, and API software. | Q110262554:Salesforce:Dedicated Stack Exchange community site for Salesforce administrators, implementation experts, developers, and customers. | Q5419210:Salesforce Marketing Cloud:Cloud-based marketing and advertising tools developed by Salesforce | Q14684154:Salesforce Tower:office building in San Francisco	review
sap	SAP	1972	COMPANY	Q552581	SAP	German software producer	Q209344:Sapienza University of Rome:Italian university founded in Rome in 1303 | Q27147:Sapindaceae:family of plants in the order Sapindales | Q158981:Sapotaceae:family of plants | Q50920401:SAPA Foundation, Swiss Archive of the Performing Arts:national memorial institution for the field of Swiss dance and theater culture	auto
google	Google	1998	COMPANY	Q95	Google	American multinational technology company, a subsidiary of Alphabet Inc.	Q9366:Google Search:search engine by Google LLC | Q79576:Google Play:digital software distribution platform from Google | Q42274:Google Earth:virtual map program developed by Google | Q494817:Google Scholar:academic search service by Google	auto
amazon	Amazon	1994	COMPANY	Q3884	Amazon	American multinational technology company	Q40040:Amazonas:state in the North Region of Brazil | Q201162:Amazonas Department:department of Peru | Q4740856:Amazon Prime Video:American video streaming service | Q177567:Amazon rainforest:large rainforest in South America	auto
meta	Meta	2004	COMPANY	Q380	Meta	American technology company	Q12796400:Meta:female given name | Q57167572:Meta:family name | Q238629:Meta Department:department of Colombia | Q815382:meta-analysis:statistical method that summarizes data from multiple sources	review
tencent	Tencent	1998	COMPANY	Q860580	Tencent	Chinese multinational investment holding conglomerate	Q60169475:Tencent Penguin Pictures:Chinese content production company owned by Tencent Holdings | Q28136991:Tencent Video:Chinese over-the-top subscription video-on-demand streaming service | Q39057776:Tencent Games:division of Tencent Holdings | Q857640:Tencent QQ:instant messaging software service	auto
alibaba	Alibaba	1999	COMPANY	Q111020661	Alibaba	unisex given name	Q109392202:Alibaba:mahalle (administrative quarter) in Şahinbey, Gaziantep, south-central Turkey | Q136503934:Alibaba:mahalle (administrative quarter) in central district, Tunceli, eastern Turkey | Q1359568:Alibaba Group:Chinese multinational technology company | Q100893028:Alibaba Odd:basketball player	review
bytedance	ByteDance	2012	COMPANY	Q55606242	ByteDance	Chinese Internet and technology company	Q138874364:ByteDance Limited:Caymanese company | Q99371675:ByteDance предпочла Oracle Microsoft:Wikinews article | Q138873381:Tiktok Information Technologies UK Limited:UK company | Q139674962:TT Commerce & Global Services LLC:Other half of TikTok split up is TikTok USDS Joint Venture LLC	auto
uber_co	Uber	2009	COMPANY	Q780442	Uber	peer-to-peer ridesharing, food delivery, and transportation network company headquartered in San Francisco, California	Q37307685:Uber:family name | Q104547327:Uber:male given name | Q194328:Uberlândia:municipality of Minas Gerais state, Brazil | Q43381902:Uberto:male given name	review
airbnb	Airbnb	2008	COMPANY	Q63327	Airbnb	American online platform for rental accommodations	Q42289508:Airbnb Android app:official Android app of Airbnb | Q115225999:Airbnb Details Road Map to Lower Cloud Costs:Wall Street Journal article (November 7, 2022) | Q59116158:Airbnb announces intent to remove Israeli West Bank settlement property listings:Wikinews article | Q114685691:Airbnb Plans to File for IPO in August:Wall Street Journal article (August 11, 2020)	auto
paypal_co	PayPal	1998	COMPANY	Q135683185	PayPal	US financial services company	Q483959:PayPal:American worldwide online payments system | Q136653753:PayPal:Nigerian music by Zlatan -(feat. Mayorkun) | Q135683211:PayPal Holdings:US holding company | Q60768270:PayPal Honey:American company operating a browser extension that applies coupons	review
stripe_co	Stripe	2010	COMPANY	Q7624104	Stripe	Irish-American payment technology company	Q117454382:Stripe:South African progamer | Q3421342:stripe:long, narrow band of color, often in alternating sets | Q127900502:Stripe:fictional character in the Gremlins franchise | Q842647:striped bass:species of fish	review
netscape_co	Netscape	1994	COMPANY	Q210057	Netscape	American computer services company	Q235419:Netscape Navigator:web browser by Netscape released in 1994 | Q266990:Netscape:family of web browsers | Q3297609:Netscape 7:version 7.0 of the Netscape web browser | Q3509073:Netscape portable runtime:C programming language library	review
spotify_co	Spotify	2006	COMPANY	Q87067874	Spotify	Swedish company	Q689141:Spotify:Swedish audio streaming service | Q60269744:Spotify Technology:Luxembourgish holding company | Q19884154:Spotify artist ID:identifier for an artist on Spotify | Q88780439:Spotify Singles:single series by Spotify	review
netflix_co	Netflix	1997	COMPANY	Q907311	Netflix	American subscription video on-demand over-the-top streaming service	Q63523678:Netflix:2019 single by Lazza | Q116452644:Netflix, Inc.:American media company | Q116452767:Netflix International B.V.:subsidiary that provides access to the Netflix service in the Netherlands | Q104414180:Netflix Animation:American animation studio	review
deepmind	Google DeepMind	2010	COMPANY	Q15733006	Google DeepMind	artificial intelligence company owned by Google	Q134404957:Google DeepMind: The Podcast:podcast from Google DeepMind, presented by Professor Hannah Fry | Q47175233:Google DeepMind and healthcare in an age of algorithms.:scientific article published on 16 March 2017 | Q111720376:Google DeepMind's Untrendy Play to Make the Blockchain Actually:journal article | Q22329209:AlphaGo:computer program developed by Google DeepMind to play the board game Go	auto
openai	OpenAI	2015	COMPANY	Q21708200	OpenAI	American artificial intelligence research organization	Q124605186:OpenAI:artificial intelligence company, onwer and operator of ChatGPT, ChatGPT Enterprise and OpenAI’s API tools | Q96237091:OpenAI API:various AI APIs, products of OpenAI | Q25106053:OpenAIRE:network of Open Access repositories, archives and journals that support Open Access policies | Q130288245:OpenAI o1:2024 AI model from OpenAI	review
anthropic	Anthropic	2021	COMPANY	Q116758847	Anthropic	American artificial intelligence corporation	Q120549613:anthropic:Python library | Q55858500:Anthropics Technology:software company | Q240581:anthropic principle:philosophical consideration that observations of the Universe must be compatible with the conscious and sapient life that observes it | Q21322488:Anthropic Bias: Observation Selection Effects in Science and Philosophy:2002 book by Nick Bostrom	review
huggingface	Hugging Face	2016	COMPANY	Q108943604	Hugging Face	American company	Q118182434:Hugging Face SAS: | Q124039484:Hugging Face model:model hosted by Hugging Face | Q131939003:Hugging Face Hub:large language model community and hosting provider | Q124039493:Hugging Face model ID:identifier of a Hugging Face model	auto
sequoia	Sequoia Capital	1972	COMPANY	Q1852025	Sequoia Capital	U.S. venture capital firm	Q130555103:SEQUOIA CAPITAL:Czech company | Q94019441:Sequoia Capital Professorship:endowed academic position at Stanford University | Q131898921:Sequoia Capital Operations, LLC: | Q135954:1103 Sequoia:asteroid	review
ycombinator	Y Combinator	2005	COMPANY	Q2616400	Y Combinator	American startup accelerator	Q99157935:Y combinator:one of the fixed-point combinators in untyped lambda calculus | Q64057866:Y Combinator Summer 2012:Y Combinator accelerator program held in summer 2012 | Q64057874:Y Combinator Summer 2015:Y Combinator accelerator program held in summer 2015 | Q64057906:Y Combinator Winter 2013:Y Combinator accelerator program held in winter 2013	review
a16z	a16z	2009	COMPANY	Q110555715	a16z Podcast	podcast	Q4034010:Andreessen Horowitz:private American venture capital firm	review
softbank	SoftBank Vision Fund	2017	COMPANY	Q30924618	SoftBank Vision Fund	Japanese venture capital fund	Q85872104:SoftBank Vision Fund 2:	auto
xerox_parc	Xerox PARC	1970	COMPANY	Q8043903	Xerox PARC Map Viewer	software	Q152433:Xerox:American document management corporation | Q750428:PARC:company | Q16083114:Xerox 860:model of workstation manufactured by Xerox | Q29122899:Xerox (France):	review
bell_labs	Bell Labs	1925	COMPANY	Q217365	Bell Labs	research and scientific development company	Q45134019:Bell Labs, Alcaltel-Lucent:business enterprise in United States of America | Q127815:Bell Labs Technical Journal:Academic journal | Q4883199:Bell Labs Holmdel Complex:research facility in New Jersey | Q975855:Bell Labs Digital Synthesizer:1970s experimental musical synthesizer	auto
darpa	DARPA	1958	COMPANY	Q37491671	Darpa	family name	Q56014742:Darpan Bhargava:researcher | Q1767761:Darpa:genus of insects | Q60294209:Darpa:village in Purulia district, West Bengal, India | Q16954351:Darpa:village in Kerman, Iran	auto
mit_csail	MIT CSAIL	1959	COMPANY	Q334661	MIT License	permissive free software license	Q179205:Mitchell:family name | Q39572:mitochondrion:organelle in eukaryotic cells responsible for respiration | Q27727334:Mitochondrial DNA Part A:scientific journal | Q1354917:MIT Computer Science and Artificial Intelligence Laboratory:Computer Science research institute at MIT	none
stanford_ai_lab	Stanford AI Lab	1962	COMPANY	Q173813	Stanford	census-designated place in Santa Clara County, California, United States	Q41506:Stanford University:private research university in Stanford, California, USA | Q19691540:Stanford:family name | Q19691538:Stanford:male given name	none
cern	CERN	1954	COMPANY	Q42944	CERN	international organization which operates the world's largest particle physics laboratory	Q274589:Cernay:commune in Haut-Rhin, France | Q21448970:Černý:family name	auto
tsmc	TSMC	1987	COMPANY	Q713418	TSMC	semiconductor foundry company headquartered in Taiwan	Q109542563:TSMC Kaohsiung Fab:a 6/7mm fab to be built in southern Taiwan | Q126371852:TSMC N4X:a process tailored for high performance computing (HPC) applications | Q126367647:TSMC N4P:improvement of TSMC N4 | Q29123772:Taiwan Semiconductor Manufacturing Company (China):Chinese subsidiary of the Taiwanese company of the same name	auto
asml	ASML	1984	COMPANY	Q138559913	Asml	douar in Morocco	Q297879:ASML Holding:Dutch company and supplier of photolithography systems | Q30338395:ASML (United States): | Q4669931:Abstract State Machine Language:programming language based on the Abstract State Machines formal method	review
apple	Apple	1976	COMPANY	Q89	apple	edible fruit of the apple tree	Q26944931:Apple:unisex given name | Q111046003:Apple:registered trademark owned by Apple | Q312:Apple Inc.:American multinational technology company based in Cupertino, California | Q213710:Apple Records:UK international record label; imprint of Apple Corps Ltd.	review
sony	Sony	1946	COMPANY	Q6014034	Sony	Japanese electronics manufacturer	Q65177437:Sony:male given name | Q41187:Sony Group:Japanese multinational conglomerate corporation | Q56760250:Sony Music:American multinational music recording company | Q3001888:Sony BMG Music Entertainment, Inc.:former American record company	review
alan_turing	Alan Turing	1912	PERSON	Q7251	Alan Turing	English computer scientist (1912–1954)	Q28846012:Alan Turing:fictional analogon of Alan Turing (1912-1954) | Q21188118:Alan Turing:sculpture | Q34308373:Alan Turing: The Enigma:biography by Andrew Hodges | Q20895922:Alan Turing (Unwin paperbacks 2015):edition of biography	review
claude_shannon	Claude Shannon	1916	PERSON	Q92760	Claude Shannon	American mathematician and information theorist (1916–2001)	Q34974639:Claude Shannon: biologist. The founder of information theory used biology to formulate the channel capacity.:scientific article | Q48828120:Claude Shannon and communication theory:scientific article published on July 1, 1997 | Q48819800:Claude Shannon, the theory of encryption, and patient confidentiality:scientific article published on January 1, 1998	auto
william_shockley	William Shockley	1910	PERSON	Q163415	William Shockley	American physicist and inventor (1910–1989)	Q686172:William Shockley:American actor | Q104705716:William Shockley:(1817-1868) | Q284676:William Shockley:Wikimedia disambiguation page | Q56068129:William Shockley:article	auto
